,id,memory_Gib,vcpu_count,clock_ghz,storage_Gib,storage_count,storage_type,network_Gbps,network_is_steady,cost_usdph,loading_comment,id_prefix,id_numstr,id_number,id_slice,id_slice_factor,id_slice_of,id_slice_net,id_slice_sto,calc_net_speed,calc_s3_speed,calc_mem_speed,calc_sto_speed,calc_cpu_real,calc_mem_caching,calc_sto_caching,calc_mem_spooling,calc_sto_spooling
8627,m5.24xlarge,384.0,96.0,3.1,0.0,0.0,EBS,25,True,4.608,,m5,24,24.0,24.0,1.0,8627,25.0,0.0,3.125,2.5,50,3.125,48.0,192.0,0.0,192.0,0.0
8635,c5.24xlarge,192.0,96.0,3.0,0.0,0.0,EBS,25,True,4.08,,c5,24,24.0,24.0,1.0,8635,25.0,0.0,3.125,2.5,50,3.125,48.0,96.0,0.0,96.0,0.0
8646,r5n.24xlarge,768.0,96.0,2.5,0.0,0.0,EBS,100,True,7.152,,r5n,24,24.0,24.0,1.0,8646,100.0,0.0,12.5,10.0,50,12.5,48.0,384.0,0.0,384.0,0.0
8656,r5d.24xlarge,768.0,96.0,3.1,3600.0,4.0,NVMe,25,True,6.912,,r5d,24,24.0,24.0,1.0,8656,25.0,4.0,3.125,2.5,50,8.0,48.0,384.0,1800.0,384.0,1800.0
8673,i3en.24xlarge,768.0,96.0,3.1,60000.0,8.0,NVMe,100,True,10.848,,i3en,24,24.0,24.0,1.0,8673,100.0,8.0,12.5,10.0,50,16.0,48.0,384.0,30000.0,384.0,30000.0
8674,c5n.18xlarge,192.0,72.0,3.0,0.0,0.0,EBS,100,True,3.888,,c5n,18,18.0,18.0,1.0,8674,100.0,0.0,12.5,10.0,50,12.5,36.0,96.0,0.0,96.0,0.0
8683,m5d.24xlarge,384.0,96.0,3.1,3600.0,4.0,NVMe,25,True,5.424,,m5d,24,24.0,24.0,1.0,8683,25.0,4.0,3.125,2.5,50,8.0,48.0,192.0,1800.0,192.0,1800.0
8698,c5d.24xlarge,192.0,96.0,3.0,3600.0,4.0,NVMe,25,True,4.608,,c5d,24,24.0,24.0,1.0,8698,25.0,4.0,3.125,2.5,50,8.0,48.0,96.0,1800.0,96.0,1800.0
8712,r5.24xlarge,768.0,96.0,3.1,0.0,0.0,EBS,25,True,6.048,,r5,24,24.0,24.0,1.0,8712,25.0,0.0,3.125,2.5,50,3.125,48.0,384.0,0.0,384.0,0.0
8717,x1e.32xlarge,3904.0,128.0,2.3,3840.0,2.0,SSD,25,True,26.688,,x1e,32,32.0,32.0,1.0,8717,25.0,2.0,3.125,2.5,50,1.0,64.0,1952.0,1920.0,1952.0,1920.0
8728,m5dn.24xlarge,384.0,96.0,3.1,3600.0,4.0,NVMe,100,True,6.528,,m5dn,24,24.0,24.0,1.0,8728,100.0,4.0,12.5,10.0,50,8.0,48.0,192.0,1800.0,192.0,1800.0
8767,m5n.24xlarge,384.0,96.0,3.1,0.0,0.0,EBS,100,True,5.712,,m5n,24,24.0,24.0,1.0,8767,100.0,0.0,12.5,10.0,50,12.5,48.0,192.0,0.0,192.0,0.0
8771,z1d.12xlarge,384.0,48.0,4.0,1800.0,2.0,NVMe,25,True,4.464,,z1d,12,12.0,12.0,1.0,8771,25.0,2.0,3.125,2.5,50,4.0,24.0,192.0,900.0,192.0,900.0
8825,i3.16xlarge,488.0,64.0,2.3,15200.0,8.0,NVMe,25,True,4.992,,i3,16,16.0,16.0,1.0,8825,25.0,8.0,3.125,2.5,50,16.0,32.0,244.0,7600.0,244.0,7600.0
8837,r5dn.24xlarge,768.0,96.0,3.1,3600.0,4.0,NVMe,100,True,8.016,,r5dn,24,24.0,24.0,1.0,8837,100.0,4.0,12.5,10.0,50,8.0,48.0,384.0,1800.0,384.0,1800.0
