,warehouse_id,query_id,total_duration,cpu_h,total_reads,cache_skew,first_read_from_s3,spooling_fraction,spooling_skew,spooling_read_sum,scaling_param,max_cores,max_instance_count
0,1.5436111688013443e+18,8.384251671170119e+18,0.949,8.055555555555556e-05,0.0015570223331451416,1e-05,False,0.0,0.0001,0.0,0.95,2.0,1
2,1.5436111688013443e+18,9.094930209012548e+18,1.545,0.000125,0.0011591911315917969,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
3,1.5436111688013443e+18,1.575797873158638e+18,0.57,2.4999999999999998e-05,4.4345855712890625e-05,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
5,1.5436111688013443e+18,8.518132601420489e+18,1.09,4.4444444444444447e-05,0.0007597506046295166,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
6,1.5436111688013443e+18,5.164490799778452e+17,3.288,3.611111111111111e-05,0.0002738535404205322,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
7,1.5436111688013443e+18,2.8878346437097477e+18,0.582,1.1111111111111112e-05,9.5367431640625e-06,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
8,1.5436111688013443e+18,1.3425132297441298e+18,1.27,6.111111111111111e-05,0.0004200935363769531,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
26,6.908167271066536e+18,6.057495097937034e+18,4.902,0.0010916666666666668,0.039117783308029175,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
28,6.908167271066536e+18,4.468653313903639e+18,3.035,4.4444444444444447e-05,0.0033502578735351562,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
32,6.908167271066536e+18,8.429558893626957e+18,1.854,0.00016666666666666666,0.023403793573379517,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
34,6.908167271066536e+18,4.700949213383595e+18,0.797,3.888888888888889e-05,0.0015002787113189697,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
35,6.908167271066536e+18,2.2717591777660849e+18,1.415,3.888888888888889e-05,0.000757366418838501,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
80,9.152788304843099e+18,4.83982736405248e+18,2.297,4.1666666666666665e-05,0.0017156600952148438,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
90,4.593888247507564e+17,4.215187917221786e+18,13.185,0.010522222222222223,2.2407840192317963,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
96,4.593888247507564e+17,9.010641762081767e+18,0.757,0.00023055555555555554,0.07312726974487305,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
140,1.9247941833893622e+18,5.602517507389952e+18,1.051,3.888888888888889e-05,9.1552734375e-05,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
153,5.762992329529239e+18,1.265897086017608e+18,4.324,0.00015833333333333332,0.0120086669921875,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
155,5.762992329529239e+18,2.1131945224397402e+18,1.995,5.277777777777778e-05,0.00020265579223632812,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
166,6.908167271066536e+18,3.6751623127237376e+18,1.285,4.722222222222223e-05,0.0006834566593170166,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
