,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,5,c5n.18xlarge/5,19.44,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,2.7648,5188.2336,5184.0,3,0.0,1.08,28.01646144
1,c5.24xlarge,5,c5.24xlarge/5,20.4,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,11.0592,5196.528,5184.0,3,0.0,1.08,29.446992
12,z1d.12xlarge,5,z1d.12xlarge/5,22.32,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,11.0592,5196.528,5184.0,3,0.0,1.08,32.2184736
0,m5.24xlarge,5,m5.24xlarge/5,23.04,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,11.0592,5196.528,5184.0,3,0.0,1.08,33.2577792
7,c5d.24xlarge,5,c5d.24xlarge/5,23.04,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,11.0592,5196.528,5184.0,3,0.0,1.08,33.2577792
13,i3.16xlarge,5,i3.16xlarge/5,24.96,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,11.0592,5196.528,5184.0,3,0.0,1.08,36.0292608
6,m5d.24xlarge,5,m5d.24xlarge/5,27.12,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,11.0592,5196.528,5184.0,3,0.0,1.08,39.1471776
11,m5n.24xlarge,5,m5n.24xlarge/5,28.56,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,2.7648,5188.2336,5184.0,3,0.0,1.08,41.15998656
8,r5.24xlarge,5,r5.24xlarge/5,30.24,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,11.0592,5196.528,5184.0,3,0.0,1.08,43.6508352
10,m5dn.24xlarge,5,m5dn.24xlarge/5,32.64,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,2.7648,5188.2336,5184.0,3,0.0,1.08,47.03998464
3,r5d.24xlarge,5,r5d.24xlarge/5,34.56,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,11.0592,5196.528,5184.0,3,0.0,1.08,49.8866688
2,r5n.24xlarge,5,r5n.24xlarge/5,35.76,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,2.7648,5188.2336,5184.0,3,0.0,1.08,51.53645376
14,r5dn.24xlarge,5,r5dn.24xlarge/5,40.08,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,2.7648,5188.2336,5184.0,3,0.0,1.08,57.76233408
4,i3en.24xlarge,5,i3en.24xlarge/5,54.24,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,2.7648,5188.2336,5184.0,3,0.0,1.08,78.16938624
9,x1e.32xlarge,5,x1e.32xlarge/5,133.44,0.0,4.0,0.0,0.0,32.0,0.0,0.0,68.0,0.0,0.0,64,4.0,0.0,4.0,0.0,32,4,5184.0,1.4688,0.0,0.0,11.0592,5196.528,5184.0,3,0.0,1.08,192.6179712
