,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,stat_time_period,time_load,scale,stat_price_sum
5,c5n.18xlarge,2,c5n.18xlarge/2,7.776,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1800.0,0.1,0.0,0.0,0.1,22393.02,1800.0,,0.0,1.2,48.369
1,c5.24xlarge,2,c5.24xlarge/2,8.16,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.38,22393.02,1350.0,,0.0,1.2,50.758
12,z1d.12xlarge,2,z1d.12xlarge/2,8.928,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,2700.0,0.1,0.0,0.0,0.38,22393.02,2700.0,,0.0,1.2,55.535
0,m5.24xlarge,2,m5.24xlarge/2,9.216,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.38,22393.02,1350.0,,0.0,1.2,57.326
7,c5d.24xlarge,2,c5d.24xlarge/2,9.216,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.38,22393.02,1350.0,,0.0,1.2,57.326
13,i3.16xlarge,2,i3.16xlarge/2,9.984,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,2025.0,0.1,0.0,0.0,0.38,22393.02,2025.0,,0.0,1.2,62.103
6,m5d.24xlarge,2,m5d.24xlarge/2,10.848,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.38,22393.02,1350.0,,0.0,1.2,67.478
11,m5n.24xlarge,2,m5n.24xlarge/2,11.424,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.1,22393.02,1350.0,,0.0,1.2,71.061
8,r5.24xlarge,2,r5.24xlarge/2,12.096,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.38,22393.02,1350.0,,0.0,1.2,75.241
10,m5dn.24xlarge,2,m5dn.24xlarge/2,13.056,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.1,22393.02,1350.0,,0.0,1.2,81.212
3,r5d.24xlarge,2,r5d.24xlarge/2,13.824,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.38,22393.02,1350.0,,0.0,1.2,85.989
2,r5n.24xlarge,2,r5n.24xlarge/2,14.304,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.1,22393.02,1350.0,,0.0,1.2,88.975
14,r5dn.24xlarge,2,r5dn.24xlarge/2,16.032,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.1,22393.02,1350.0,,0.0,1.2,99.724
4,i3en.24xlarge,2,i3en.24xlarge/2,21.696,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1350.0,0.1,0.0,0.0,0.1,22393.02,1350.0,,0.0,1.2,134.955
9,x1e.32xlarge,2,x1e.32xlarge/2,53.376,0.0,2.0,0,0,1,0,0,4.0,0,0,2,1,2,1012.5,0.1,0.0,0.0,0.38,22393.02,1012.5,,0.0,1.2,332.014
